代號, 名稱,divavg, y18, y17, y16, y15, y14
3078, 僑威,1.81,1.45,1.75,2.35,1.9,1.6
3081, 聯亞,6.8,5,5,8,9,7
3083, 網龍,0,0,0, nan, nan, nan
3085, 新零售,0,0,0, nan, nan, nan
3086, 華義,0,0,0, nan, nan, nan
3088, 艾訊,4.244,3.75,5.53,3.65,4.3,3.99
3089, 元炬,0,0,0, nan, nan, nan
3090, 日電貿,2.9,6.5,2.5,2,2,1.5
3092, 鴻碩,2.32,4.5,4,2,0.6,0.5
3093, 港建,1.554,1.3,0.55,1.82,2.4,1.7
3094, 聯傑,1.022,0.8,0.9,1.1,1.16,1.15
3095, 及成,0,0,0, nan, nan, nan
3105, 穩懋,3.44,5,7,4.5,0.5,0.2
3114, 好德,0.84,1.5,0.6,0.5,0.8,0.8
3115, 寶島極,0,0,0, nan, nan, nan
3118, 進階,1.8,1,1.9,1.9,2.2,2
3122, 笙泉,0.502,0,0.2,0.51,0.8,1
3128, 昇銳,0.24,0.5,0.4,0.3, nan, nan
