代號, 名稱, y18, y17, y16, y15, y14
6415, 矽力-KY,6.52,5.98,4.92,2,3.97
6416, 瑞祺電通,3.5,3.53,5, nan, nan
6417, 韋僑,0.6,0.7,1.5,1.5,0.8
6418, 詠昇,1.1,1.3,1.6, nan, nan
6419, 京晨科,0,0, nan, nan,0
6425, 易發,3,2.1,0.49, nan, nan
6426, 統新,1.49,1.49,1.49,1.5,1.51
6431, 光麗-KY,0,0, nan, nan,2.5
6432, 今展科,1.6,0.19,1.4,2.5,1.85
6435, 大中,7.07,3.5,3,3, nan
6438, 迅得,2.8,4,2, nan, nan
6441, 廣錠,2,4,4, nan, nan
6442, 光聖,1.5,2,3.3,3,2
6443, 元晶,0,0,0,0, nan
6446, 藥華藥,0,0, nan, nan, nan
6449, 鈺邦,0.99,1.85,1.8,1.6,1.6
6451, 訊芯-KY,2.33,0.94,5.4,6,7.5
6452, 康友-KY,3.2,8,7.65,9.2,8.15
6456, GIS-KY,4,9,4,3, nan
6457, 紘康,1.83,1.99,1.64,2.12,1.44
6461, 益得,0,0, nan, nan, nan
6462, 神盾,8.09,4.28, nan, nan, nan
6464, 台數科,5.51,5,2,6.6, nan
6465, 威潤,1,0.99,2.22,1.83,0.92
6469, 大樹,1.3,1.64,2.8,2, nan
6470, 宇智,2.5,2,4,4,2.5
6472, 保瑞,3,0.5,0.8, nan, nan
6477, 安集,0.8,0.42,0.2,0.35, nan
6482, 弘煜科,0,0,0.99,1.76, nan
6485, 點序,0,0,2.44,1.45,3.42
6486, 互動,4.8,3.2,3.5,3, nan
6488, 環球晶,25,10,1.76,5,5.7
6491, 晶碩,0, nan,1, nan, nan
6492, 生華科,0,0, nan, nan, nan
6494, 九齊,2.2,3.5,3,1.99, nan
6496, 科懋,4,4,3,2.5, nan
6497, 亞獅康-KY,0,0, nan, nan, nan
6499, 益安,0,0, nan, nan, nan
6504, 南六,5,4.5,4.8,3.9,2.8
6505, 台塑化,4.8,6.3,6,4,0.85
6506, 雙邦,1,1,1.7,0.8,0.3
6508, 惠光,1.5,1.35,1.5,1.3,1.8
6509, 聚和,0.6,0.4,0.32,0.6,0.41
6510, 精測,10,10,8,6, nan
6512, 啟發電,0.47,0.46,2.28,2.83, nan
6514, 芮特-KY,0.28,1.4,0.3,1.9, nan
6516, 勤崴國際,0.11,0.93,0.9, nan, nan
6523, 達爾膚,0.45,2.5,6.6,3, nan
6525, 捷敏-KY,4,3,3.8,3.74, nan
6527, 明達醫,0, nan, nan, nan, nan
6530, 創威,1,1,1, nan, nan
6531, 愛普,0.51,1.49,2,4.49, nan
6532, 瑞耘,2.3,1.1,0.79,1.4, nan
6533, 晶心科,0.7,0, nan, nan, nan
6535, 順藥,0,0, nan, nan, nan
6538, 倉和,1,1.3,4.3,4.25, nan
6541, 泰福-KY,0,0, nan, nan, nan
6542, 隆中,3,0,2.87,0.4, nan
6547, 高端疫苗,0,0,0, nan, nan
6548, 長科*,0,11.5,1.2,3, nan
6552, 易華電,2,0.3,0.75, nan, nan
6556, 勝品,1.2,2,2, nan, nan
6558, 興能高,1.2,1.11,0.9, nan, nan
6560, 欣普羅,3,0,2, nan, nan
6561, 是方,7.5,4.97,4.5, nan, nan
6568, 宏觀,5.9,5,4, nan, nan
6569, 醫揚,6.5,6.5,8, nan, nan
6570, 維田,1.8,1,1.5, nan, nan
6573, 虹揚-KY,0.25,1, nan, nan, nan
6574, 霈方,4,6.16,6.47, nan, nan
6576, 逸達,0, nan,0, nan, nan
6577, 勁豐,4.5,4,3.3, nan, nan
6578, 達邦蛋白,0.8,0.5,1.4, nan, nan
6579, 研揚,4.1,4.75,4.27, nan, nan
6581, 鋼聯,4.98,5.35,3.4, nan, nan
6582, 申豐,3.59,3.49,3.62, nan, nan
6589, 台康生技,0,0, nan, nan, nan
6590, 普鴻,1.5,1.2,1.7, nan, nan
6591, 動力-KY,1.5,2,1.5, nan, nan
6592, 和潤企業,0, nan, nan, nan, nan
6593, 台灣銘板,1.8,1.3,1, nan, nan
6594, 展匯科,0.75,0.62,1.41, nan, nan
6596, 寬宏藝術,2,3.5,2, nan, nan
6603, 富強鑫,0.5,0.59,0.7,0.1,0.4
6605, 帝寶,2.3,2.5,3,2.5,4.5
6609, 瀧澤科,2.2,1,0.6,1.4,2
6612, 奈米醫材,0.5,0.5, nan, nan, nan
